,titulo,empresa,presencialidad,jornada,experiencia,tipo_contrato,beneficios,salario_min,salario_max,localidad,provincia,comunidad,pais,categoria_empleo
3398,ingeniero/a cpm barcelona o sevilla,Adecco,no especificado,jornada completa,1.0,temporal,True,,,Barcelona,Barcelona,Cataluña,España,otros
3399,developer,Capgemini,remoto,jornada completa,2.0,indefinido,True,,,,,,España,programador
3400,consultant,Page Personnel,no especificado,jornada completa,2.0,indefinido,False,24000.0,36000.0,,,,España,otros
3401,support technician,Adecco,no especificado,jornada completa,2.0,temporal,False,24000.0,24000.0,,,,España,sistemas
3402,tecnico en seguridad perimetral,trs staffing solutions,no especificado,jornada completa,3.0,indefinido,False,21000.0,33000.0,Madrid,Madrid,Comunidad de Madrid,España,otros
3403,systems engineer,Michael Page,no especificado,jornada completa,1.0,indefinido,False,,,,,,España,sistemas
3404,software engineer,grupo cmc,no especificado,jornada completa,2.0,indefinido,True,,,,,,España,programador
3405,project manager,Michael Page,no especificado,jornada completa,3.0,indefinido,False,,,Getxo,Vizcaya,País Vasco,España,administracion
3406,it presales networking,Michael Page,hibrido,jornada completa,5.0,indefinido,False,39000.0,45000.0,,,,España,otros
3407,administrador senior directorio activo,Capgemini,no especificado,jornada completa,5.0,indefinido,True,42000.0,48000.0,,,,España,otros
3408,consultant,grupo cmc,no especificado,jornada completa,,indefinido,False,,,Zaragoza,Zaragoza,Aragón,España,otros
3409,fullstack,anywr,no especificado,jornada completa,3.0,indefinido,False,,,,,,España,programador
3410,developer,anywr,no especificado,jornada completa,3.0,indefinido,False,,,,,,España,programador
3411,developer,anywr,no especificado,jornada completa,3.0,indefinido,False,,,,,,España,programador
3412,developer,anywr,no especificado,jornada completa,3.0,indefinido,False,,,,,,España,programador
3413,software engineer,anywr,no especificado,jornada completa,3.0,indefinido,False,,,,,,España,programador
3414,practicas sap btp,Capgemini,no especificado,media jornada,0.0,practicas,True,,,,,,España,otros
3415,project manager,Hays,no especificado,jornada completa,5.0,indefinido,False,,,,Navarra,Navarra,España,administracion
3416,developer,Page Personnel,no especificado,jornada completa,3.0,indefinido,False,39000.0,48000.0,Reus,Tarragona,Cataluña,España,programador
3417,developer,Page Personnel,hibrido,jornada completa,3.0,indefinido,False,45000.0,74000.0,,,,España,programador
3418,beca salesforce,Capgemini,no especificado,no especificado,0.0,practicas,True,,,,,,España,otros
3419,beca desarrollo bpm,Capgemini,no especificado,no especificado,0.0,practicas,True,,,,,,España,otros
3420,fullstack,Page Personnel,hibrido,jornada completa,3.0,indefinido,False,,,Madrid,Madrid,Comunidad de Madrid,España,programador
3421,digital product owner,Michael Page,no especificado,jornada completa,3.0,indefinido,False,54000.0,60000.0,,,,España,otros
3422,developer,Michael Page,hibrido,jornada completa,1.0,indefinido,False,24000.0,33000.0,Zaragoza,Zaragoza,Aragón,España,programador
3423,microsoft 365 engineer,Hays,no especificado,jornada completa,3.0,indefinido,False,,,,,,España,otros
3424,fullstack,Michael Page,no especificado,jornada completa,3.0,indefinido,False,33000.0,45000.0,,,,España,programador
3425,data engineer,Page Personnel,hibrido,jornada completa,2.0,indefinido,False,33000.0,60000.0,Madrid,Madrid,Comunidad de Madrid,España,data driven
3426,developer,Hays,no especificado,jornada completa,2.0,indefinido,False,,,,,,España,programador
3427,developer,Page Personnel,remoto,jornada completa,2.0,indefinido,False,24000.0,36000.0,,,,España,programador
3428,analyst,Page Personnel,no especificado,jornada completa,3.0,indefinido,False,45000.0,54000.0,,,,España,data driven
3429,developer,Page Personnel,remoto,jornada completa,2.0,indefinido,False,24000.0,36000.0,,,,España,programador
